microtraithmm-name	db_xref-ec_tc	db_xref-kegg	microtraithmm-description
gtsA	3.A.1.1.24_Q72KX2;3.A.1.1.30_Q88P38	K17315	glucose/mannose transport system substrate-binding protein
gtsC	3.A.1.1.14_Q97UF3;3.A.1.1.24_Q72KX4;3.A.1.1.30_Q88P36	K17317	glucose/mannose transport system permease protein
gtsB	3.A.1.1.24_Q72KX3;3.A.1.1.30_Q88P37	K17316	glucose/mannose transport system permease protein
glcS	3.A.1.1.13_Q97UZ1;3.A.1.1.14_Q97UF5	K10196	glucose/arabinose transport system substrate-binding protein
glcP1	3.A.1.1.13_Q97UY9;3.A.1.1.14_Q97UF3	K10198	glucose/arabinose transport system permease protein
glcP	3.A.1.1.13_Q97UZ0;3.A.1.1.14_Q97UF4	K10197	glucose/arabinose transport system permease protein
glcA	3.A.1.1.13_Q97UY8;3.A.1.1.14_Q97UF2	K10199	glucose/arabinose transport system ATP-binding protein
glcU	2.A.7.5.1_O07881;2.A.7.5.3_Q9CDF7;2.A.7.5.4_P40420;2.A.7.5.5_L8DP77	K05340	glucose uptake protein
TC.GNTP	2.A.8	K03299	gluconate:H+ symporter, GntP family
fbpII-sebp	3.1.3.11;3.1.3.37	K11532	glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37] 
glk	2.7.1.2	K00845	glk; glucokinase [EC:2.7.1.2] 
gld	1.1.5.9	K00115	GLD; glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9] 
aapJ	3.A.1.3.18_Q8YPM9;3.A.1.3.26_P45766;3.A.1.3.7_Q52663;3.A.1.3.8_Q52812	K09969	general L-amino acid transport system substrate-binding protein
aapM	3.A.1.3.18_Q8YPM7;3.A.1.3.26_P45768;3.A.1.3.7_Q52665;3.A.1.3.8_Q52814	K09971	general L-amino acid transport system permease protein
aapQ	3.A.1.3.18_Q8YPM8;3.A.1.3.26_P45767;3.A.1.3.7_Q52664;3.A.1.3.8_Q52813	K09970	general L-amino acid transport system permease protein
aapP	3.A.1.3.16_A3ZI83;3.A.1.3.26_P45769;3.A.1.3.7_Q52666;3.A.1.3.8_Q52815	K09972	general L-amino acid transport system ATP-binding protein [EC:3.6.3.-]
gdhA	1.1.1.360	K18124	gdh2, gdhA; glucose/galactose 1-dehydrogenase (NADP+) [EC:1.1.1.360] 
gcd	1.1.5.2	K00117	gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2] 
gapor	1.2.7.6	K11389	gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6] 
cofF	6.3.2.32	K14940	gamma-F420-2:alpha-L-glutamate ligase [EC:6.3.2.32] 
galK	2.7.1.6	K00849	galactokinase [EC:2.7.1.6]
gpd	1.1.1.49;1.1.1.363	K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] 
g6p	3.1.3.9	K01084	G6PC; glucose-6-phosphatase [EC:3.1.3.9] 
frdD		K00247	fumarate reductase subunit D 
frdC		K00246	fumarate reductase subunit C 
frdB	1.3.5.4	K00245	fumarate reductase iron-sulfur subunit [EC:1.3.5.4] 
frdA	1.3.5.4	K00244	fumarate reductase flavoprotein subunit [EC:1.3.5.4] 
tfrB	1.3.4.1	K18210	fumarate reductase (CoM/CoB) subunit B [EC:1.3.4.1] 
tfrA	1.3.4.1	K18209	fumarate reductase (CoM/CoB) subunit A [EC:1.3.4.1] 
fumII	4.2.1.2	K01679	fumarate hydratase, class II [EC:4.2.1.2] 
fumI	4.2.1.2	K01676	fumarate hydratase, class I [EC:4.2.1.2] 
fumbeta	4.2.1.2	K01678	fumarate hydratase subunit beta [EC:4.2.1.2] 
fumalpha	4.2.1.2	K01677	fumarate hydratase subunit alpha [EC:4.2.1.2] 
uxuB	1.1.1.57	K00040	fructuronate reductase [EC:1.1.1.57]
aldo.classII	4.1.2.13	K01624	fructose-bisphosphate aldolase, class II [EC:4.1.2.13] 
aldo.classI-1	4.1.2.13	K01623	fructose-bisphosphate aldolase, class I [EC:4.1.2.13] 
aldo.classI-2	4.1.2.13	K11645	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
fba_2	4.1.2.13;2.2.1.11	K16305	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]
fba_3	4.1.2.13;2.2.1.10	K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]
fbpIII	3.1.3.11	K04041	fructose-1,6-bisphosphatase III [EC:3.1.3.11] 
fbpII	3.1.3.11	K02446	fructose-1,6-bisphosphatase II [EC:3.1.3.11] 
fbpI-sebp	3.1.3.11;3.1.3.37	K01086	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37] 
fbpI	3.1.3.11	K03841	fructose-1,6-bisphosphatase I [EC:3.1.3.11] 
frcB	3.A.1.2.7_Q9F9B2	K10552	fructose transport system substrate-binding protein
frcC	3.A.1.2.7_Q9F9B1	K10553	fructose transport system permease protein
frcA	3.A.1.2.7_Q9F9B0	K10554	fructose transport system ATP-binding protein
msmE1	3.A.1.1.20	K10120	fructooligosaccharide transport system substrate-binding protein
msmF1	3.A.1.1.20	K10121	fructooligosaccharide transport system permease protein
msmG1	3.A.1.1.20	K10122	fructooligosaccharide transport system permease protein
scrK	2.7.1.4	K00847	fructokinase [EC:2.7.1.4]
ftr	2.3.1.101	K00672	formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101] 
fwdE	1.2.7.12	K11261	formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12] 
fwdD	1.2.7.12	K00203	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12] 
fwdC	1.2.7.12	K00202	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12] 
fwdB	1.2.7.12	K00201	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12] 
fwdA	1.2.7.12	K00200	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12] 
ftfL	6.3.4.3	K01938	formate--tetrahydrofolate ligase [EC:6.3.4.3]
focA	1.A.16.1.1_P0AC23;1.A.16.1.2_P77733;1.A.16.1.3_F9A868	K06212	formate transporter
focB	1.A.16.1.2_P77733	K03459	formate transporter
fdhC	1.A.16.2	K21993	formate transporter
fdoI		K00127	formate dehydrogenase subunit gamma 
fdsD	1.17.1.9	K00126	formate dehydrogenase subunit delta [EC:1.17.1.9] 
fdhF	1.17.1.9	K00123	formate dehydrogenase major subunit [EC:1.17.1.9] 
fdhH		K00124	formate dehydrogenase iron-sulfur subunit 
fdwB	1.17.1.9	K22515	formate dehydrogenase beta subunit [EC:1.17.1.9] 
fdh	1.17.1.9	K00122	formate dehydrogenase [EC:1.17.1.9] 
fdh.NADP+B	1.17.1.10	K15022	formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10] 
fdh.NADP+A	1.17.1.10	K05299	formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10] 
fdhBF420	1.17.98.3;1.8.98.6	K00125	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] 
fdhAF420	1.17.98.3;1.8.98.6	K22516	formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6] 
mdo	1.2.98.1;1.1.99.37	K17067	formaldehyde dismutase / methanol dehydrogenase [EC:1.2.98.1 1.1.99.37] 
fbiC	2.5.1.147;4.3.1.32	K11779	FO synthase [EC:2.5.1.147 4.3.1.32] 
ssuE	1.5.1.38	K00299	FMN reductase [EC:1.5.1.38] 
flqA	3.A.1	K16905	fluoroquinolone transport system permease protein
flqB	3.A.1	K16906	fluoroquinolone transport system permease protein
flqC	3.A.1	K16907	fluoroquinolone transport system ATP-binding protein [EC:3.6.3.-]
fieF	2.A.4.7.1	K13283	ferrous-iron efflux pump FieF
feoB		K04759	ferrous iron transport protein B
feoA		K04758	ferrous iron transport protein A
fepA	1.B.14.1.22_P05825;1.B.14.1.3_O54507;1.B.14.1.5_Q05098	K19611	ferric enterobactin receptor
fecB	3.A.1.14.1;3.A.1.14.8	K23181	ferric citrate transport system substrate-binding protein
fecC	3.A.1.14.1;3.A.1.14.8	K23183	ferric citrate transport system permease protein
fecD	3.A.1.14.1;3.A.1.14.8	K23182	ferric citrate transport system permease protein
fecE	3.A.1.14.1;3.A.1.14.8	K23184	ferric citrate transport system ATP-binding protein [EC:7.2.2.18]
nirA	1.7.7.1	K00366	ferredoxin-nitrite reductase [EC:1.7.7.1]
narB	1.7.7.2	K00367	ferredoxin-nitrate reductase [EC:1.7.7.2]
fecA	1.B.14.1.12_Q9HXB2;1.B.14.1.20_P13036	K16091	Fe(3+) dicitrate transport protein
fqoN	1.1.98.4	K22181	F420H2:quinone oxidoreductase subunit N [EC:1.1.98.4]
fqoM	1.1.98.4	K22180	F420H2:quinone oxidoreductase subunit M [EC:1.1.98.4]
fqoL	1.1.98.4	K22179	F420H2:quinone oxidoreductase subunit L [EC:1.1.98.4]
fqoK	1.1.98.4	K22178	F420H2:quinone oxidoreductase subunit K [EC:1.1.98.4]
fqoJ	1.1.98.4	K22177	F420H2:quinone oxidoreductase subunit J [EC:1.1.98.4]
fqoI	1.1.98.4	K22176	F420H2:quinone oxidoreductase subunit I [EC:1.1.98.4]
fqoH	1.1.98.4	K22175	F420H2:quinone oxidoreductase subunit H [EC:1.1.98.4]
fqoF	1.1.98.4	K22174	F420H2:quinone oxidoreductase subunit F [EC:1.1.98.4]
fqoD	1.1.98.4	K22173	F420H2:quinone oxidoreductase subunit D [EC:1.1.98.4]
fqoBC	1.1.98.4	K22172	F420H2:quinone oxidoreductase subunit B/C [EC:1.1.98.4]
fqoA	1.1.98.4	K22171	F420H2:quinone oxidoreductase subunit A [EC:1.1.98.4]
fpoO	1.5.98.3	K22170	F420H2 dehydrogenase subunit O [EC:1.5.98.3]
fpoN	1.5.98.3	K22169	F420H2 dehydrogenase subunit N [EC:1.5.98.3]
fpoM	1.5.98.3	K22168	F420H2 dehydrogenase subunit M [EC:1.5.98.3]
fpoL	1.5.98.3	K22167	F420H2 dehydrogenase subunit L [EC:1.5.98.3]
fpoK	1.5.98.3	K22166	F420H2 dehydrogenase subunit K [EC:1.5.98.3]
fpoJ	1.5.98.3	K22165	F420H2 dehydrogenase subunit J [EC:1.5.98.3]
fpoI	1.5.98.3	K22164	F420H2 dehydrogenase subunit I [EC:1.5.98.3]
fpoH	1.5.98.3	K22163	F420H2 dehydrogenase subunit H [EC:1.5.98.3]
fpoF	1.5.7.2;1.5.98.3	K22162	F420H2 dehydrogenase subunit F [EC:1.5.7.2 1.5.98.3]
fpoD	1.5.98.3	K22161	F420H2 dehydrogenase subunit D [EC:1.5.98.3]
fpoC	1.5.98.3	K22160	F420H2 dehydrogenase subunit C [EC:1.5.98.3]
fpoB	1.5.98.3	K22159	F420H2 dehydrogenase subunit B [EC:1.5.98.3]
fpoA	1.5.98.3	K22158	F420H2 dehydrogenase subunit A [EC:1.5.98.3]
mvhG	1.12.99.-;1.8.98.5	K14128	F420-non-reducing hydrogenase small subunit [EC:1.12.99.- 1.8.98.5] 
mvhA	1.12.99.-;1.8.98.5	K14126	F420-non-reducing hydrogenase large subunit [EC:1.12.99.- 1.8.98.5] 
mvhD	1.12.99.-;1.8.98.5;1.8.98.6	K14127	F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6] 
atpD	7.2.2.1;7.1.2.2	K02112	F-type H+/Na+-transporting ATPase subunit beta [EC:7.2.2.1 7.1.2.2]
atpA	7.2.2.1;7.1.2.2	K02111	F-type H+/Na+-transporting ATPase subunit alpha [EC:7.2.2.1 7.1.2.2]
atpG		K02115	F-type H+-transporting ATPase subunit gamma
atpC		K02114	F-type H+-transporting ATPase subunit epsilon
atpH		K02113	F-type H+-transporting ATPase subunit delta
atpE		K02110	F-type H+-transporting ATPase subunit c
atpF		K02109	F-type H+-transporting ATPase subunit b
atpB		K02108	F-type H+-transporting ATPase subunit a
mtrE		mtrE	extracellular respiratory sytem outer membrane component MtrE
mtrF		mtrF	extracellular respiratory system surface decaheme cytochrome c component MtrF
mtrD		mtrD	extracellular respiratory system periplasmic decaheme cytochrome c component MtrD
mtrC		mtrC	extracellular iron oxide respiratory system surface decaheme cytochrome c component MtrC
mtrB		mtrB	extracellular iron oxide respiratory system outer membrane component 
omcA		omcA	extracelllular iron oxide respiratory system surface decaheme cytochrome c component OmcA
mtrA		mtrA	extracelllular iron oxide respiratory system periplasmic decaheme cytochrome c component MtrA
exoF	1.B.18.1.1_Q02728	K16552	exopolysaccharide production protein ExoF
amsL	2.A.66.2.8_D4HW93	K16696	exopolysaccharide (amylovoran) exporter
exaA	1.1.2.8	K00114	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8] 
eutS		K04031	ethanolamine utilization protein EutS
eutN		K04028	ethanolamine utilization protein EutN
eutM		K04027	ethanolamine utilization protein EutM
eutL		K04026	ethanolamine utilization protein EutL
eutK		K04025	ethanolamine utilization protein EutK
eryG	3.A.1.2.11_Q92WK4;3.A.1.2.16_Q1M4Q9	K17202	erythritol transport system substrate-binding protein
eryF	3.A.1.2.11_Q92WK1;3.A.1.2.16_Q1M4Q8	K17203	erythritol transport system permease protein
eryE	3.A.1.2.11_Q92WK2;3.A.1.2.16_Q1M4Q7	K17204	erythritol transport system ATP-binding protein
epsF		K16713	EPS I polysaccharide export inner membrane protein EpsF
epsE	2.A.66.2.11_Q45411	K16712	EPS I polysaccharide export inner membrane protein EpsE
hadha	1.1.1.211;4.2.1.17	K07515	enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.211 4.2.1.17]
ehhadh	5.3.3.8;1.1.1.35;4.2.1.17	K07514	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:5.3.3.8 1.1.1.35 4.2.1.17]
cch-hbcd	4.2.1.17;1.1.1.35	K15016	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35] 
crt	4.2.1.17	K01715	enoyl-CoA hydratase [EC:4.2.1.17]
echs1	4.2.1.17	K07511	enoyl-CoA hydratase [EC:4.2.1.17]
paaF	4.2.1.17	K01692	enoyl-CoA hydratase [EC:4.2.1.17]
eno	4.2.1.11	K01689	ENO, eno; enolase [EC:4.2.1.11] 
cbrT	3.A.1.32.1_Q9KXJ5;3.A.1.32.2_Q2NFA9;3.A.1.32.3_A9WHW7	K16927	energy-coupling factor transport system substrate-specific component
ecfT	3.A.1.29.1_Q74I61;3.A.1.25.5_Q9X2I1;3.A.1.25.6_Q5M245;3.A.1.26.10_I7BV49;3.A.1.32.1_Q9KXJ7;3.A.1.32.2_Q2NFA7;3.A.1.32.3_A9WJX6;3.A.1.33.1_Q8R9L9	K16785	energy-coupling factor transport system permease protein
ecfA1	3.A.1.25.5_Q9X1Z1;3.A.1.25.6_Q5M243;3.A.1.26.10_Q839D5	K16786	energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]
ecfA2	cbi-1	K16787	energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]
edd	4.2.1.12	K01690	edd; phosphogluconate dehydratase [EC:4.2.1.12] 
eda	4.1.2.1	K01625	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.1 
echF		K14091	ech hydrogenase subunit F
echE		K14090	ech hydrogenase subunit E
echD		K14089	ech hydrogenase subunit D
echC		K14088	ech hydrogenase subunit C
echB		K14087	ech hydrogenase subunit B
echA		K14086	ech hydrogenase subunit A
pckA2	4.1.1.49	K01610	E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] 
gnl	3.1.1.17	K01053	E3.1.1.17, gnl, RGN; gluconolactonase [EC:3.1.1.17] 
gk	2.7.1.12	K00851	E2.7.1.12, gntK, idnK; gluconokinase [EC:2.7.1.12] 
crs	2.3.3.3	K05942	E2.3.3.3; citrate (Re)-synthase [EC:2.3.3.3] 
pta1	2.3.1.8	K00625	E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8] 
pflD	2.3.1.54	K00656	E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54] 
tal	2.2.1.2	K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2] 
adh	1.1.1.1	K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1] 
TC.DME	2.A.7.3	K03298	drug/metabolite transporter, DME family
pdhD	1.8.1.4	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4] 
pdhC	2.3.1.12	K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1 
tc.dass	2.A.47.3.4_Q6D017	K03319	divalent anion:Na+ symporter, DASS family
dsrB	1.8.99.5	K11181	dissimilatory sulfite reductase beta subunit [EC:1.8.99.5] 
dsrA	1.8.99.5	K11180	dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5] 
pfp	2.7.1.90	K00895	diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
dppE	3.A.1.5.2_P26906	K16199	dipeptide transport system substrate-binding protein
dppA1	3.A.1.5.39_W0WJ85;3.A.1.5.39_W0WKZ8;3.A.1.5.39_W0WL02;3.A.1.5.39_W0WLZ1;3.A.1.5.39_W0WQF0	K12368	dipeptide transport system substrate-binding protein
dppB2	3.A.1.5.2_P26903	K16200	dipeptide transport system permease protein
dppC2	3.A.1.5.2_P26904	K16201	dipeptide transport system permease protein
dppC1	3.A.1.5.39_W0WMS8	K12370	dipeptide transport system permease protein
dppB1	3.A.1.5.39_W0WN20	K12369	dipeptide transport system permease protein
dppD2	3.A.1.5.2_P26905	K16202	dipeptide transport system ATP-binding protein
dppD1	3.A.1.5.39_W0WJ90	K12371	dipeptide transport system ATP-binding protein
dppF1	3.A.1.5.39_W0WLZ8	K12372	dipeptide transport system ATP-binding protein
dmdA	2.1.1.269	K17486	dimethylsulfoniopropionate demethylase [EC:2.1.1.269] 
sfnG	1.14.14.35	K17228	dimethylsulfone monooxygenase [EC:1.14.14.35] 
ddhC		K16966	dimethylsulfide dehydrogenase subunit gamma 
ddhB		K16965	dimethylsulfide dehydrogenase subunit beta 
ddhA	1.8.2.4	K16964	dimethylsulfide dehydrogenase subunit alpha [EC:1.8.2.4] 
dddL	4.4.1.3	K16953	dimethylpropiothetin dethiomethylase [EC:4.4.1.3] 
dmd-tmd	1.5.8.1;1.5.8.2	K00317	dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2] 
mtbB	2.1.1.249	K16178	dimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.249] 
mtbC		K16179	dimethylamine corrinoid protein 
dmoA	1.14.13.131	K16967	dimethyl-sulfide monooxygenase [EC:1.14.13.131] 
DAS	2.2.1.3	K17100	dihydroxyacetone synthase [EC:2.2.1.3] 
dgaF	4.1.2.14	K17463	dgaF; 2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14] 
efeB	2.A.108.2.3	K16301	deferrochelatase/peroxidase EfeB [EC:1.11.1.-]
xylF	3.A.1.2.24_O50503;3.A.1.2.26_A6LW10;3.A.1.2.4_P37387	K10543	D-xylose transport system substrate-binding protein
xylH	3.A.1.2.24_O50505;3.A.1.2.26_A6LW12;3.A.1.2.4_P0AGI4	K10544	D-xylose transport system permease protein
xylG	3.A.1.2.24_O50504;3.A.1.2.26_A6LW11;3.A.1.2.4_P37388	K10545	D-xylose transport system ATP-binding protein [EC:3.6.3.17]
cycA	2.A.3.1.17_M1IW84;2.A.3.1.7_P0AAE0	K11737	D-serine/D-alanine/glycine transporter
dsdX	2.A.8.1.5_P08555	K13629	D-serine transporter
metQ	3.A.1.24.1_P28635;3.A.1.24.2_O32167;3.A.1.24.3_Q8K8K9;3.A.1.24.4_Q8NSN1;3.A.1.24.5_Q9HT68	K02073	D-methionine transport system substrate-binding protein
metI	3.A.1.24.1_P31547;3.A.1.24.2_O32168;3.A.1.24.3_Q8K8K7;3.A.1.24.4_Q8NSN3;3.A.1.24.5_Q9HT69	K02072	D-methionine transport system permease protein
metN	3.A.1.24.1_P30750;3.A.1.24.2_O32169;3.A.1.24.3_Q8K8K8;3.A.1.24.4_Q8NSN2;3.A.1.24.5_Q9HT70	K02071	D-methionine transport system ATP-binding protein
dppA2	3.A.1.5.2_P26902	K16203	D-amino peptidase [EC:3.4.11.-]
alsB	3.A.1.2.6_P39265	K10549	D-allose transport system substrate-binding protein
alsC	3.A.1.2.6_P32720	K10550	D-allose transport system permease protein
alsA	3.A.1.2.6_P32721	K10551	D-allose transport system ATP-binding protein [EC:3.6.3.17]
codB	2.A.39.1.1_P0AA82	K10974	cytosine permease
fccA		K17230	cytochrome subunit of sulfide dehydrogenase 
cyoD		K02300	cytochrome o ubiquinol oxidase subunit IV
cyoC		K02299	cytochrome o ubiquinol oxidase subunit III
cyoA	7.1.1.3	K02297	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]
cyoB	7.1.1.3	K02298	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]
napB		K02568	cytochrome c-type protein NapB
mxaG		K16255	cytochrome c-L 
coxD	1.9.3.1	K02277	cytochrome c oxidase subunit IV [EC:1.9.3.1]
coxC	1.9.3.1	K02276	cytochrome c oxidase subunit III [EC:1.9.3.1]
coxB	1.9.3.1	K02275	cytochrome c oxidase subunit II [EC:1.9.3.1]
coxAC	1.9.3.1	K15408	cytochrome c oxidase subunit I+III [EC:1.9.3.1]
coxA	1.9.3.1	K02274	cytochrome c oxidase subunit I [EC:1.9.3.1]
ccoQ		K00407	cytochrome c oxidase cbb3-type subunit IV
ccoP		K00406	cytochrome c oxidase cbb3-type subunit III
ccoO		K00405	cytochrome c oxidase cbb3-type subunit II
ccoNO	1.9.3.1	K15862	cytochrome c oxidase cbb3-type subunit I/II [EC:1.9.3.1]
ccoN	1.9.3.1	K00404	cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1]
ctaA		K02259	cytochrome c oxidase assembly protein subunit 15
ctaG		K02258	cytochrome c oxidase assembly protein subunit 11
nrfH		K15876	cytochrome c nitrite reductase small subunit
appX	7.1.1.7	K22501	cytochrome bd-II ubiquinol oxidase subunit AppX [EC:7.1.1.7]
cydX	7.1.1.7	K00424	cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7]
cydB	7.1.1.7	K00426	cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]
cydA	7.1.1.7	K00425	cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]
qoxD	7.1.1.5	K02829	cytochrome aa3-600 menaquinol oxidase subunit IV [EC:7.1.1.5]
qoxC	7.1.1.5	K02828	cytochrome aa3-600 menaquinol oxidase subunit III [EC:7.1.1.5]
qoxA	7.1.1.5	K02826	cytochrome aa3-600 menaquinol oxidase subunit II [EC:7.1.1.5]
qoxB	7.1.1.5	K02827	cytochrome aa3-600 menaquinol oxidase subunit I [EC:7.1.1.5]
tcyA	3.A.1.3.28_B8F896	K02424	cystine transport system substrate-binding protein
tcyB	3.A.1.3.28_B8F897	K10009	cystine transport system permease protein
tcyC	3.A.1.3.28_B8F898	K10010	cystine transport system ATP-binding protein [EC:3.6.3.-]
eamB	2.A.76.1.4_P38101	K11249	cysteine/O-acetylserine efflux protein
cysO	2.5.1.47;2.5.1.65;4.2.1.22	K10150	cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase [EC:2.5.1.47 2.5.1.65 4.2.1.22]
cysK	2.5.1.47	K01738	cysteine synthase [EC:2.5.1.47] 
metB	2.5.1.48	K01739	cystathionine gamma-synthase [EC:2.5.1.48] 
mccB	4.4.1.1;4.4.1.2	K17217	cystathionine gamma-lyase / homocysteine desulfhydrase [EC:4.4.1.1 4.4.1.2] 
cusA	2.A.6.1.4	K07787	Cu(I)/Ag(I) efflux system membrane protein CusA/SilA
nosY	3.A.1.132.2	K19341	Cu-processing system permease protein
nosF	3.A.1.132.2	K19340	Cu-processing system ATP-binding protein
gltA	2.3.3.1	K01647	CS, gltA; citrate synthase [EC:2.3.3.1] 
ccrA	1.3.1.86	K17829	crotonyl-CoA reductase [EC:1.3.1.86]
tc.cnt	2.A.41.2.11_Q9KPL5	K03317	concentrative nucleoside transporter, CNT family
cofE	6.3.2.31;6.3.2.34	K12234	coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]
frhG	1.12.98.1	K00443	coenzyme F420 hydrogenase subunit gamma [EC:1.12.98.1]
frhD		K00442	coenzyme F420 hydrogenase subunit delta 
frhB	1.12.98.1	K00441	coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]
frhA	1.12.98.1	K00440	coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1] 
cbiM	3.A.1.18;3.A.1.22;3.A.1.23	K02007	cobalt/nickel transport system permease protein
cbiQ	3.A.1.18;3.A.1.22;3.A.1.23	K02008	cobalt/nickel transport system permease protein
cbiO	3.A.1.18;3.A.1.22;3.A.1.23	K02006	cobalt/nickel transport system ATP-binding protein
cbiN	3.A.1.18	K02009	cobalt/nickel transport protein
czcA	2.A.6.1.2	K15726	cobalt-zinc-cadmium resistance protein CzcA
czcD	2.A.4.1	K16264	cobalt-zinc-cadmium efflux system protein
ccsB		K15233	citryl-CoA synthetase small subunit 
ccsA	6.2.1.18	K15232	citryl-CoA synthetase large subunit [EC:6.2.1.18] 
ccl	4.1.3.34	K15234	citryl-CoA lyase [EC:4.1.3.34] 
citT	2.A.47.3.2_P0AE74	K09477	citrate:succinate antiporter
tc.citmhs	2.A.11.1.6_A4QA05	K03300	citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family
citD		K01646	citrate lyase subunit gamma (acyl carrier protein)
citE	4.1.3.34	K01644	citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]
citF	2.8.3.10	K01643	citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]
chrA	2.A.51.1	K07240	chromate transporter
betT	2.A.15.1.3_Q4ZLW8;2.A.15.1.5_Q92WM0;2.A.15.1.9_Q6F754	K02168	choline/glycine/proline betaine transport protein
motB	1.A.30.1	K02557	chemotaxis protein MotB
motA	1.A.30.1	K02556	chemotaxis protein MotA
cebE	3.A.1.1.23_Q9X9R7	K10240	cellobiose transport system substrate-binding protein
cebG	3.A.1.1.23_Q9X9R5	K10242	cellobiose transport system permease protein
cebF	3.A.1.1.23_Q9X9R6	K10241	cellobiose transport system permease protein
sapA	3.A.1.5.5	K19226	cationic peptide transport system substrate-binding protein
sapB	3.A.1.5.5	K19227	cationic peptide transport system permease protein
sapC	3.A.1.5.5	K19228	cationic peptide transport system permease protein
sapD	3.A.1.5.5	K19229	cationic peptide transport system ATP-binding protein
sapF	3.A.1.5.5	K19230	cationic peptide transport system ATP-binding protein
actP	2.A.21.7.2_P32705;2.A.21.7.3_Q8NS49;2.A.21.7.4_D5AU53;2.A.21.7.5_D5APM1	K14393	cation/acetate symporter
yrbG	2.A.19.5	K07301	cation:H+ antiporter
nrsA	2.A.6.1	K11326	cation efflux system protein involved in nickel and cobalt tolerance
fiu	1.B.14.1.9_P75780	K16090	catecholate siderophore receptor
ccmO		K08700	carbon dioxide concentrating mechanism protein CcmO
ccmN		K08699	carbon dioxide concentrating mechanism protein CcmN
